density,repetition,seed,algorithm,tracemalloc_peak_mib,tracemalloc_current_mib,tracemalloc_peak_minus_current_mib,tracemalloc_overhead_mib,runtime_seconds_with_tracing,betti_number
0.3,4,5,general,1.2066888809204102,0.1134634017944336,1.0932254791259766,0.210540771484375,1.5467817999888211,0
0.3,5,6,recursive_no_basis,21.638724327087402,21.617505073547363,0.021219253540039062,9.9183349609375,1.2763253999873996,0
0.3,5,6,general,0.8962364196777344,0.10375308990478516,0.7924833297729492,0.20513916015625,1.1028026000130922,0
0.3,5,6,recursive_basis,21.641708374023438,21.620182991027832,0.02152538299560547,9.91998291015625,1.099761799996486,0
0.3,6,7,general,0.8841333389282227,0.102508544921875,0.7816247940063477,0.204345703125,1.1520180999941658,0
0.3,6,7,recursive_basis,21.63774013519287,21.61667251586914,0.02106761932373047,9.91839599609375,1.0742563999956474,0
0.3,6,7,recursive_no_basis,21.639406204223633,21.618203163146973,0.021203041076660156,9.919097900390625,1.0048444000130985,0
0.3,7,8,recursive_basis,23.397415161132812,23.38502311706543,0.012392044067382812,10.384735107421875,1.3044935000070836,0
0.3,7,8,recursive_no_basis,21.674555778503418,21.6347017288208,0.03985404968261719,9.938751220703125,1.000386300001992,0
0.3,7,8,general,1.024094581604004,0.109161376953125,0.9149332046508789,0.207855224609375,1.1937045000086073,0
0.3,8,9,recursive_no_basis,21.639591217041016,21.61860752105713,0.02098369598388672,9.919158935546875,1.2012348000134807,0
0.3,8,9,general,0.6025934219360352,0.09289264678955078,0.5097007751464844,0.136505126953125,0.8564177999796811,0
0.3,8,9,recursive_basis,21.639278411865234,21.617955207824707,0.021323204040527344,9.918792724609375,1.0683257000055164,0
0.3,9,10,general,0.9117441177368164,0.10829448699951172,0.8034496307373047,0.207916259765625,1.1536135000060312,1
0.3,9,10,recursive_basis,23.402969360351562,23.39378833770752,0.009181022644042969,10.38623046875,1.169212000007974,1
0.3,9,10,recursive_no_basis,21.674379348754883,21.631567001342773,0.042812347412109375,9.93743896484375,0.994468599994434,1
0.4,0,1,general,4.106667518615723,0.17157459259033203,3.9350929260253906,0.250732421875,5.377930100017693,14
0.4,0,1,recursive_basis,23.510990142822266,23.48964786529541,0.02134227752685547,10.422454833984375,1.5559482999960892,14
0.4,0,1,recursive_no_basis,21.689597129821777,21.653042793273926,0.03655433654785156,9.9500732421875,1.061900800006697,14
0.4,1,2,recursive_basis,21.65212345123291,21.6258487701416,0.026274681091308594,9.918304443359375,0.9859937999863178,0
0.4,1,2,recursive_no_basis,21.649245262145996,21.62297821044922,0.026267051696777344,9.920562744140625,0.9830888999858871,0
0.4,1,2,general,2.6991491317749023,0.15634441375732422,2.542804718017578,0.242584228515625,3.9782741999952123,0
0.4,2,3,recursive_no_basis,21.6519832611084,21.625032424926758,0.026950836181640625,9.921905517578125,1.0854555000260007,0
0.4,2,3,general,3.3808364868164062,0.1629190444946289,3.2179174423217773,0.246063232421875,3.9125083000108134,0
0.4,2,3,recursive_basis,21.65323543548584,21.62637996673584,0.02685546875,9.922821044921875,1.054034300002968,0
0.4,3,4,general,4.146400451660156,0.15806102752685547,3.988339424133301,0.241668701171875,5.24644879999687,2
0.4,3,4,recursive_basis,23.466010093688965,23.452019691467285,0.013990402221679688,10.40863037109375,1.2363720000139438,2
0.4,3,4,recursive_no_basis,21.692176818847656,21.656123161315918,0.03605365753173828,9.94903564453125,1.2094587000028696,2
0.4,4,5,recursive_basis,23.522055625915527,23.501215934753418,0.020839691162109375,10.42633056640625,1.6077334999863524,10
0.4,4,5,recursive_no_basis,21.6913480758667,21.655245780944824,0.036102294921875,9.951629638671875,1.2957604999828618,10
0.4,4,5,general,3.7616329193115234,0.16839599609375,3.5932369232177734,0.247589111328125,5.544720800011419,10
0.4,5,6,recursive_no_basis,21.68929958343506,21.64636993408203,0.042929649353027344,9.945037841796875,1.058561899990309,0
0.4,5,6,general,2.70711612701416,0.15328407287597656,2.5538320541381836,0.24078369140625,3.9819973000267055,0
0.4,5,6,recursive_basis,23.426169395446777,23.41147804260254,0.014691352844238281,10.393524169921875,1.156981000007363,0
0.4,6,7,general,3.6707229614257812,0.16136837005615234,3.509354591369629,0.24481201171875,5.186533499974757,15
0.4,6,7,recursive_basis,23.50756549835205,23.48680591583252,0.02075958251953125,10.421051025390625,1.3159823000023607,15
0.4,6,7,recursive_no_basis,21.68682098388672,21.6553897857666,0.03143119812011719,9.9515380859375,1.0705141999933403,15
0.4,7,8,recursive_basis,23.501343727111816,23.485624313354492,0.01571941375732422,10.418182373046875,1.2639569000166375,2
0.4,7,8,recursive_no_basis,21.688377380371094,21.663732528686523,0.024644851684570312,9.953033447265625,1.234910699975444,2
0.4,7,8,general,3.9068212509155273,0.17613887786865234,3.730682373046875,0.25262451171875,5.166220900020562,2
0.4,8,9,recursive_no_basis,21.688097953796387,21.650806427001953,0.037291526794433594,9.949493408203125,1.1133513000095263,5
0.4,8,9,general,2.693178176879883,0.15514469146728516,2.5380334854125977,0.24169921875,3.858057400007965,5
0.4,8,9,recursive_basis,23.447126388549805,23.434507369995117,0.0126190185546875,10.4024658203125,1.2728440000209957,5
0.4,9,10,general,3.7207231521606445,0.1643686294555664,3.556354522705078,0.246612548828125,4.87577000001329,7
0.4,9,10,recursive_basis,23.519567489624023,23.49886131286621,0.0207061767578125,10.42236328125,1.970957300014561,7
0.4,9,10,recursive_no_basis,21.687889099121094,21.659494400024414,0.028394699096679688,9.950775146484375,1.4980843999946956,7
0.5,0,1,general,10.677075386047363,0.22998619079589844,10.447089195251465,0.406463623046875,21.54646679997677,54
0.5,0,1,recursive_basis,23.65433120727539,23.6141300201416,0.04020118713378906,10.46795654296875,1.7626912999839988,54
0.5,0,1,recursive_no_basis,21.7496395111084,21.681196212768555,0.06844329833984375,9.959808349609375,1.4791624000063166,54
0.5,1,2,recursive_basis,23.6550235748291,23.611762046813965,0.04326152801513672,10.467620849609375,1.917906499991659,70
