density,repetition,seed,algorithm,runtime_seconds,betti_number
0.1,57,58,recursive_no_basis,0.0006511999818030745,0
0.1,58,59,recursive_basis,0.0005430000019259751,0
0.1,58,59,recursive_no_basis,0.0005145999894011766,0
0.1,58,59,general,0.012235900008818135,0
0.1,59,60,recursive_no_basis,0.0005491000192705542,0
0.1,59,60,general,0.0097548000048846,0
0.1,59,60,recursive_basis,0.0006978999881539494,0
0.1,60,61,general,0.008373199991183355,0
0.1,60,61,recursive_basis,0.0006437000120058656,0
0.1,60,61,recursive_no_basis,0.0005788999842479825,0
0.1,61,62,recursive_basis,0.0008632999961264431,0
0.1,61,62,recursive_no_basis,0.0005522000137716532,0
0.1,61,62,general,0.011899799981620163,0
0.1,62,63,recursive_no_basis,0.0006319000094663352,0
0.1,62,63,general,0.007513900025514886,0
0.1,62,63,recursive_basis,0.0006315999780781567,0
0.1,63,64,general,0.012061200017342344,0
0.1,63,64,recursive_basis,0.0009851999930106103,0
0.1,63,64,recursive_no_basis,0.0006370999908540398,0
0.1,64,65,recursive_basis,0.0007683000003453344,0
0.1,64,65,recursive_no_basis,0.0005160000000614673,0
0.1,64,65,general,0.01785639999434352,0
0.1,65,66,recursive_no_basis,0.0011627000058069825,0
0.1,65,66,general,0.012473900016630068,0
0.1,65,66,recursive_basis,0.0006051999807823449,0
0.1,66,67,general,0.011344500002451241,0
0.1,66,67,recursive_basis,0.0034573999873828143,0
0.1,66,67,recursive_no_basis,0.0007062000222504139,0
0.1,67,68,recursive_basis,0.0006167000101413578,0
0.1,67,68,recursive_no_basis,0.0005521999846678227,0
0.1,67,68,general,0.009421800001291558,0
0.1,68,69,recursive_no_basis,0.0005130999779794365,0
0.1,68,69,general,0.008876000007148832,0
0.1,68,69,recursive_basis,0.0005936000088695437,0
0.1,69,70,general,0.008730400004424155,0
0.1,69,70,recursive_basis,0.0006126000080257654,0
0.1,69,70,recursive_no_basis,0.0006163999787531793,0
0.1,70,71,recursive_basis,0.0004859000036958605,0
0.1,70,71,recursive_no_basis,0.00047580001410096884,0
0.1,70,71,general,0.00974609999684617,0
0.1,71,72,recursive_no_basis,0.00065640002139844,0
0.1,71,72,general,0.013869099988369271,0
0.1,71,72,recursive_basis,0.001031799998600036,0
0.1,72,73,general,0.007658999995328486,0
0.1,72,73,recursive_basis,0.0005619000003207475,0
0.1,72,73,recursive_no_basis,0.0005486999871209264,0
0.1,73,74,recursive_basis,0.0008531000057701021,0
0.1,73,74,recursive_no_basis,0.0004709000058937818,0
0.1,73,74,general,0.010627800016663969,0
0.1,74,75,recursive_no_basis,0.0005433000042103231,0
0.1,74,75,general,0.010618300002533942,0
0.1,74,75,recursive_basis,0.0005941999843344092,0
0.1,75,76,general,0.007595300005050376,0
0.1,75,76,recursive_basis,0.000532899983227253,0
0.1,75,76,recursive_no_basis,0.000523599999723956,0
0.1,76,77,recursive_basis,0.0005469000025186688,0
0.1,76,77,recursive_no_basis,0.0005096000095363706,0
0.1,76,77,general,0.014992899989010766,0
0.1,77,78,recursive_no_basis,0.00046949999523349106,0
0.1,77,78,general,0.015483700000913814,0
0.1,77,78,recursive_basis,0.0005819000070914626,0
0.1,78,79,general,0.008357899991096929,0
0.1,78,79,recursive_basis,0.0005705000075977296,0
0.1,78,79,recursive_no_basis,0.000527299998793751,0
0.1,79,80,recursive_basis,0.0004942999803461134,0
0.1,79,80,recursive_no_basis,0.0004693999944720417,0
0.1,79,80,general,0.0071087999967858195,0
0.1,80,81,recursive_no_basis,0.0005359000060707331,0
0.1,80,81,general,0.00974609999684617,0
0.1,80,81,recursive_basis,0.0005686999938916415,0
0.1,81,82,general,0.007694600004469976,0
0.1,81,82,recursive_basis,0.0007968999852892011,0
0.1,81,82,recursive_no_basis,0.000676199997542426,0
0.1,82,83,recursive_basis,0.0005382999952416867,0
0.1,82,83,recursive_no_basis,0.0005071999912615865,0
0.1,82,83,general,0.007957900001201779,0
0.1,83,84,recursive_no_basis,0.0005378000205382705,0
0.1,83,84,general,0.008200799988117069,0
0.1,83,84,recursive_basis,0.0005710000114049762,0
0.1,84,85,general,0.007033899979433045,0
0.1,84,85,recursive_basis,0.0005326000100467354,0
0.1,84,85,recursive_no_basis,0.0005035999929532409,0
0.1,85,86,recursive_basis,0.000499200017657131,0
0.1,85,86,recursive_no_basis,0.00048680001054890454,0
0.1,85,86,general,0.01981210001395084,0
0.1,86,87,recursive_no_basis,0.0005973000079393387,0
0.1,86,87,general,0.008244299999205396,0
0.1,86,87,recursive_basis,0.0005690999969374388,0
0.1,87,88,general,0.008453799993731081,0
0.1,87,88,recursive_basis,0.0005830999871250242,0
0.1,87,88,recursive_no_basis,0.0009009999921545386,0
0.1,88,89,recursive_basis,0.0005357000045478344,0
0.1,88,89,recursive_no_basis,0.0004988000146113336,0
0.1,88,89,general,0.011301199992885813,0
0.1,89,90,recursive_no_basis,0.0005373999883886427,0
0.1,89,90,general,0.01003340000170283,0
0.1,89,90,recursive_basis,0.0006113999988883734,0
0.1,90,91,general,0.013198399974498898,0
0.1,90,91,recursive_basis,0.0006767000013496727,0
0.1,90,91,recursive_no_basis,0.0011375999893061817,0
0.1,91,92,recursive_basis,0.0005743000074289739,0
0.1,91,92,recursive_no_basis,0.0005017999792471528,0
0.1,91,92,general,0.006577099993592128,0
0.1,92,93,recursive_no_basis,0.004007899988209829,0
0.1,92,93,general,0.009750900004291907,0
0.1,92,93,recursive_basis,0.0005904000136069953,0
0.1,93,94,general,0.014765300002181903,0
0.1,93,94,recursive_basis,0.0007089000137057155,0
0.1,93,94,recursive_no_basis,0.0005473000055644661,0
0.1,94,95,recursive_basis,0.00048519999836571515,0
0.1,94,95,recursive_no_basis,0.00046029998338781297,0
0.1,94,95,general,0.006843199982540682,0
0.1,95,96,recursive_no_basis,0.0005069999897386879,0
0.1,95,96,general,0.00845709998975508,0
0.1,95,96,recursive_basis,0.0006719999946653843,0
0.1,96,97,general,0.0065596000058576465,0
0.1,96,97,recursive_basis,0.000519599998369813,0
0.1,96,97,recursive_no_basis,0.000525100011145696,0
0.1,97,98,recursive_basis,0.0005403999821282923,0
0.1,97,98,recursive_no_basis,0.0004936999757774174,0
0.1,97,98,general,0.011049399996409193,0
0.1,98,99,recursive_no_basis,0.0005616999987978488,0
0.1,98,99,general,0.008001899986993521,0
0.1,98,99,recursive_basis,0.0005599000141955912,0
0.1,99,100,general,0.014900700014550239,0
0.1,99,100,recursive_basis,0.0005395000043790787,0
0.1,99,100,recursive_no_basis,0.003595699992729351,0
0.1,100,101,recursive_basis,0.000547999981790781,0
0.1,100,101,recursive_no_basis,0.0005154999962542206,0
0.1,100,101,general,0.008443300001090392,0
0.1,101,102,recursive_no_basis,0.0005507000023499131,0
0.1,101,102,general,0.010955900012049824,0
